CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName
Colombia,Bogota,4.6,-74.083333,CO,Sur America
España,Madrid,40.4,-3.683333,ES,Europa
Alemania,Munich,48.137154,11.576124,AL,Europa
Reino Unido,Londres,51.5,-0.083333,GB,Europa
Paises Bajos,Amsterdam,52.35,4.916667,PB,Europa
Turquia,Estambul,41.0082,28.9784,TQ, Europa
Estados Unidos,Nueva York,40.7128,74.0060,US,Norte America
Japan,Tokio,35.68333333333333,139.750000,JP,Asia
Brasil,Sao Paulo,23.5558,46.6396,BR,Sur America
Brasil,Fortaleza,3.7327,38.5270,BR,Sur America
Francia,Paris,48.86666666666667,2.333333,FR,Europa
Italia,Roma,41.9,12.483333,IT,Europa
Brasil,Rio de janeiro,22.9068,43.1729,BR,Sur America
Finlandia,Helsinki,60.166666666666664,24.933333,FI,Europa
Qatar,Doha,25.283333333333335,51.533333,QA,Asia
Sudafrica,Ciudad del cabo,-33.9258,18.432,SA,Africa
Canada,Montreal,45.5017,73.5673,CA,Norte America
Canada,Toronto,43.6532,79.3832,CA,Norte America
Estados Unidos,Miami,25.7617,80.1918,US,Norte America
China,Hangzhou,30.2741,120.1552,CN,Asia
China,Beijing,39.916666666666664,116.383333,CN,Asia
Peru,Lima,-12.05,-77.050000,PE,South America
Mexico,Cancun,21.1619,86.8515,MX,Centro America
Argentina,Buenos Aires,-34.583333333333336,-58.666667,AR,South America
Hong Kong,Hong Kong,22.3193,114.1694,HK,Asia
Australia,Sidney,-33.8688,151.2093,AU,Oceania
Barein,Manama,26.2235,50.5876,BH,Asia
India,New Delhi,28.6,77.200000,IN,Asia
Suiza,Zurich,47.3769,8.5417,CH,Europa
Mexico,Ciudad de mexico,19.433333333333334,-99.133333,MX,Central America
Suecia,Estocolmo,59.333333333333336,18.050000,SE,Europe
